,ds,yhat,yhat_lower,yhat_upper
0,2018-01-31,5597503.134336045,3561195.2259586873,7457241.83307269
1,2018-02-28,7302091.296621824,5421234.681696381,9149257.740389053
2,2018-03-31,3828502.9499887456,2063214.3150168199,5814779.359665029
3,2018-04-30,4178808.5580938067,2250516.524724825,5935490.374890965
4,2018-05-31,5883348.819306447,4047976.9429111443,7835458.231512884
5,2018-06-30,4324876.645904761,2224149.578259871,6152715.614276429
6,2018-07-31,5016775.972836774,3097107.316156206,6901915.744345847
7,2018-08-31,9515347.910965087,7693645.886591344,11517749.008576341
8,2018-09-30,7241805.734169224,5355412.425803289,9237515.197180258
9,2018-10-31,4927346.406617654,3044562.484129012,6789139.835354714
10,2018-11-30,4056552.0853564227,2114418.8022519103,6006597.232482631
11,2018-12-31,6854241.611584909,4921292.00393991,8836492.29813084
12,2019-01-31,5782264.119947455,3885197.0194192966,7827177.567511605
13,2019-02-28,9107264.12691091,7289398.780515577,10998568.258438865
14,2019-03-31,4142123.113603535,2296893.0579771837,6109102.013593748
15,2019-04-30,4138101.013257061,2190002.8551403964,6144657.252697541
16,2019-05-31,5721060.783434505,3944777.1772072185,7617613.40017057
17,2019-06-30,4790483.21838024,3010896.3288910557,6605622.189825319
18,2019-07-31,5770562.894477518,3787349.0309017017,7706732.619981662
19,2019-08-31,9278773.336642606,7175643.626729988,11242751.510012383
20,2019-09-30,8546747.453243501,6697737.567566238,10471112.863983504
21,2019-10-31,5507645.104471561,3679801.8020877982,7431378.452538105
22,2019-11-30,4294196.198897659,2309927.9661255595,6166020.630662408
23,2019-12-31,5967142.901081228,3981788.9714932917,7769283.462107774
24,2020-01-31,6004420.254246896,4030918.149229651,7949868.864460287
25,2020-02-29,5209839.88294225,3393443.8078541453,7055287.06790702
26,2020-03-31,4641588.5753734205,2720258.6921549845,6558557.781142787
27,2020-04-30,5742945.014699656,3883669.3406185177,7809406.808086256
28,2020-05-31,7742927.034610668,5707324.168759212,9658514.292365652
29,2020-06-30,4958956.812776021,3058949.5138880354,6848793.234939305
30,2020-07-31,5030882.960779494,3215705.832381294,6982796.505716691
31,2020-08-31,11532465.111940244,9517998.0072904,13390354.734402252
32,2020-09-30,6172449.744120563,4183558.279058374,8078305.325368163
33,2020-10-31,5233681.785626566,3238381.2348409947,7113603.601896936
34,2020-11-30,5036139.087856468,3157395.33127304,6914501.068975408
35,2020-12-31,10159641.742709272,8295563.648373367,12151336.917745925
36,2021-01-31,6971614.954368687,5059184.266012036,8853908.92663052
37,2021-02-28,7016901.051188572,5055058.024280191,9042509.13832392
38,2021-03-31,5009422.127401994,2937874.4232445154,6875239.259804738
39,2021-04-30,5728498.944851733,3869523.760738483,7704804.905138303
40,2021-05-31,7572095.803962386,5639072.47929659,9481222.371710353
41,2021-06-30,5395564.779525371,3559918.72043707,7293870.8499576785
42,2021-07-31,5784635.208093459,3974673.7597940923,7719165.3076799195
43,2021-08-31,11281216.748579085,9435097.652703613,13235622.308174087
44,2021-09-30,7464567.960831152,5511238.535635922,9359467.221097216
45,2021-10-31,5850399.2588551575,3864315.415713663,7645546.047155441
46,2021-11-30,5318553.840482517,3319722.3220686554,7207741.689079625
47,2021-12-31,9266796.365136407,7239920.421159184,10946409.053755257
48,2022-01-31,7119293.860458514,5343898.395880372,8987999.028053425
49,2022-02-28,8823882.027512819,6839236.266258039,10595695.225437896
50,2022-03-31,5350293.686652197,3514567.0600292957,7207609.103198839
51,2022-04-30,5700599.300345597,3891310.5453219404,7578162.601427658
52,2022-05-31,7405139.566892953,5495770.7814183775,9410585.076565685
53,2022-06-30,5846667.398534653,4163992.3629544717,7768479.773927962
54,2022-07-31,6538566.730842617,4656148.829245263,8551669.779545758
55,2022-08-31,11037138:q.674340855,9217576.3201576,12972777.360389477
56,2022-09-30,8763596.501465287,6935775.349630606,10748321.740407566
57,2022-10-31,6449137.175853891,4677028.144203572,8350538.519326444
58,2022-11-30,5578342.856484296,3740527.688498988,7521206.003142322
59,2022-12-31,8376032.386004846,6484021.6991942795,10408506.408309614
60,2023-01-31,7304054.89632237,5442741.452342155,9214635.014072066
61,2023-02-28,10629054.903912453,8790969.410433369,12500983.582267541
62,2023-03-31,5663913.891299772,3740522.985622048,7431782.24574561
63,2023-04-30,5659891.789866194,3733447.0087553877,7537331.618412195
64,2023-05-31,7242851.557417049,5303958.07974383,9188684.283219052
65,2023-06-30,6312273.989661402,4494182.906534936,8179596.1599574145
66,2023-07-31,7292353.6629838105,5407942.211137266,9216472.832668252
67,2023-08-31,10800564.102545438,9010629.153334554,12734404.744468493
68,2023-09-30,10068538.217447383,8228634.0391856255,11897087.665044457
69,2023-10-31,7029435.868739923,5188189.22224959,8777715.519763311
70,2023-11-30,5815986.9632230885,3931466.2172165234,7821716.522356788
71,2023-12-31,7488933.664354457,5608080.059305871,9269109.107163472
72,2024-01-31,7526211.018215524,5661122.728548124,9592173.786198411
73,2024-02-29,6731630.647031898,4901366.704978624,8470342.429738205
